Time,Users
10/5/15,32557
10/6/15,31506
10/7/15,30717
10/8/15,44573
10/9/15,72070
10/10/15,84768
10/11/15,73271
10/12/15,53507
10/13/15,51792
10/14/15,54613
10/15/15,46620
10/16/15,35650
10/17/15,41126
10/18/15,34273
10/19/15,23979
10/20/15,22518
10/21/15,22694
10/22/15,23000
10/23/15,31003
10/24/15,40151
10/25/15,37502
10/26/15,29509
10/27/15,29118
10/28/15,28999
10/29/15,27630
10/30/15,31431
10/31/15,33654
11/1/15,33302
11/2/15,25420
11/3/15,23020
11/4/15,23623
11/5/15,22340
11/6/15,26188
11/7/15,32995
11/8/15,28848
11/9/15,21084
11/10/15,21253
11/11/15,22747
11/12/15,21530
11/13/15,27149
11/14/15,34907
11/15/15,30060
11/16/15,22045
11/17/15,21444
11/18/15,21814
11/19/15,23407
11/20/15,27616
11/21/15,32861
11/22/15,29272
11/23/15,22760
11/24/15,23161
11/25/15,25977
11/26/15,28393
11/27/15,32331
11/28/15,38006
11/29/15,31711
11/30/15,24296
12/1/15,24075
12/2/15,26028
12/3/15,44861
12/4/15,63094
12/5/15,73420
12/6/15,66864
12/7/15,56066
12/8/15,57708
12/9/15,54781
12/10/15,59670
12/11/15,72661
12/12/15,90783
12/13/15,86445
12/14/15,65623
12/15/15,60427
12/16/15,56013
12/17/15,54447
12/18/15,55482
12/19/15,61475
12/20/15,58765
12/21/15,51812
12/22/15,47712
12/23/15,46076
12/24/15,47362
12/25/15,54462
12/26/15,53038
12/27/15,51399
12/28/15,50977
12/29/15,67660
12/30/15,70007
12/31/15,71951
1/1/16,71682
1/2/16,68619
1/3/16,61375
1/4/16,56385
1/5/16,55732
1/6/16,54932
1/7/16,48140
1/8/16,40707
1/9/16,45079
1/10/16,37727
1/11/16,30948
1/12/16,29210
1/13/16,29198
1/14/16,29005
1/15/16,33223
1/16/16,39898
1/17/16,34703
1/18/16,30165
1/19/16,29260
1/20/16,27150
1/21/16,27982
1/22/16,31848
1/23/16,38817
1/24/16,35729
1/25/16,28774
1/26/16,28820
1/27/16,28036
1/28/16,29080
1/29/16,31650
1/30/16,37009
1/31/16,30927
2/1/16,25977
2/2/16,25051
2/3/16,26005
2/4/16,26238
2/5/16,31823
2/6/16,36487
2/7/16,32806
2/8/16,26963
2/9/16,26285
2/10/16,24397
2/11/16,24739
2/12/16,29618
2/13/16,35339
2/14/16,30784
2/15/16,25678
2/16/16,27838
2/17/16,29309
2/18/16,31048
2/19/16,38423
2/20/16,45543
2/21/16,41839
2/22/16,32592
2/23/16,30588
2/24/16,35994
2/25/16,80603
2/26/16,126582
2/27/16,142012
2/28/16,121076
2/29/16,95066
3/1/16,107548
3/2/16,98466
3/3/16,83921
3/4/16,84186
3/5/16,84136
3/6/16,105850
3/7/16,73065
3/8/16,72002
3/9/16,62570
3/10/16,62613
3/11/16,68690
3/12/16,77470
3/13/16,65524
3/14/16,51597
3/15/16,51990
3/16/16,52767
3/17/16,68781
3/18/16,115756
3/19/16,134013
3/20/16,118000
3/21/16,95611
3/22/16,94382
3/23/16,95884
3/24/16,101195
3/25/16,97704
3/26/16,90113
3/27/16,82790
3/28/16,71435
3/29/16,64008
3/30/16,62033
3/31/16,63683
4/1/16,60104
4/2/16,65373
4/3/16,59442
4/4/16,45158
4/5/16,43072
4/6/16,42498
4/7/16,45388
4/8/16,57703
4/9/16,69532
4/10/16,62686
4/11/16,46073
4/12/16,44299
4/13/16,46471
4/14/16,61277
4/15/16,87418
4/16/16,101427
4/17/16,89787
4/18/16,65607
4/19/16,67321
4/20/16,69639
4/21/16,84330
4/22/16,115554
4/23/16,146270
4/24/16,146501
4/25/16,121121
4/26/16,129731
4/27/16,111200
4/28/16,82977
4/29/16,73323
4/30/16,77242
5/1/16,70037
5/2/16,56797
5/3/16,50679
5/4/16,48921
5/5/16,46113
5/6/16,57842
5/7/16,61945
5/8/16,55037
5/9/16,40444
5/10/16,36987
5/11/16,38089
5/12/16,39921
5/13/16,45911
5/14/16,53159
5/15/16,49347
5/16/16,39559
5/17/16,37195
5/18/16,37850
5/19/16,37541
5/20/16,48122
5/21/16,56949
5/22/16,52278
5/23/16,42851
5/24/16,43135
5/25/16,46280
5/26/16,48466
5/27/16,50142
5/28/16,55144
5/29/16,55779
5/30/16,66207
5/31/16,53158
6/1/16,49325
6/2/16,47082
6/3/16,53992
6/4/16,59345
6/5/16,55050
6/6/16,47168
6/7/16,44806
6/8/16,43367
6/9/16,48014
6/10/16,53734
6/11/16,60253
6/12/16,63050
6/13/16,53407
6/14/16,49416
6/15/16,51328
6/16/16,49258
6/17/16,53033
6/18/16,58291
6/19/16,56233
6/20/16,49679
6/21/16,47831
6/22/16,47104
6/23/16,79253
6/24/16,142529
6/25/16,136168
6/26/16,126479
6/27/16,114039
6/28/16,115646
6/29/16,117278
6/30/16,86040
7/1/16,71544
7/2/16,67923
7/3/16,64885
7/4/16,56633
7/5/16,58000
7/6/16,56964
7/7/16,55852
7/8/16,57065
7/9/16,61432
7/10/16,64215
7/11/16,54271
7/12/16,51593
7/13/16,50277
7/14/16,50551
7/15/16,57761
7/16/16,59083
7/17/16,56894
7/18/16,51287
7/19/16,50442
7/20/16,52397
7/21/16,52704
7/22/16,54756
7/23/16,55345
7/24/16,53068
7/25/16,50906
7/26/16,49367
7/27/16,50087
7/28/16,52231
7/29/16,55338
7/30/16,59525
7/31/16,59551
8/1/16,54799
8/2/16,52408
8/3/16,51742
8/4/16,100962
8/5/16,161525
8/6/16,169227
8/7/16,165679
8/8/16,152703
8/9/16,148676
8/10/16,147145
8/11/16,115925
8/12/16,84419
8/13/16,69257
8/14/16,64885
8/15/16,58847
8/16/16,56622
8/17/16,53654
8/18/16,56446
8/19/16,63991
8/20/16,72354
8/21/16,70495
8/22/16,68200
8/23/16,62170
8/24/16,59337
8/25/16,57151
8/26/16,60656
8/27/16,71365
8/28/16,68276
8/29/16,56921
8/30/16,54067
8/31/16,50859
9/1/16,46726
9/2/16,51848
9/3/16,60554
9/4/16,58795
9/5/16,51461
9/6/16,49784
9/7/16,54560
9/8/16,47860
9/9/16,53779
9/10/16,68582
9/11/16,63431
9/12/16,46362
9/13/16,46679
9/14/16,55640
9/15/16,58585
9/16/16,63513
9/17/16,76763
9/18/16,71350
9/19/16,51675
9/20/16,48915
9/21/16,46787
9/22/16,46714
9/23/16,55669
9/24/16,69085
9/25/16,62956
9/26/16,45557
9/27/16,46346
9/28/16,45724
9/29/16,48754
9/30/16,60476
10/1/16,70449
10/2/16,66132
10/3/16,49801
10/4/16,49363
10/5/16,49718
10/6/16,47561
10/7/16,57045
10/8/16,69821
10/9/16,64314
10/10/16,49426
10/11/16,48547
10/12/16,50493
10/13/16,50275
10/14/16,60471
10/15/16,73362
10/16/16,68575
10/17/16,49070
10/18/16,47786
10/19/16,49496
10/20/16,53695
10/21/16,56537
10/22/16,68745
10/23/16,62820
10/24/16,42818
10/25/16,50457
10/26/16,44689
10/27/16,65028
10/28/16,107800
10/29/16,128043
10/30/16,114809
10/31/16,83215
11/1/16,91178
11/2/16,95672
11/3/16,71537
11/4/16,57396
11/5/16,68490
11/6/16,62840
11/7/16,44974
11/8/16,50815
11/9/16,48118
11/10/16,46749
11/11/16,56129
11/12/16,64489
11/13/16,58900
11/14/16,42996
11/15/16,42100
11/16/16,43377
11/17/16,42307
11/18/16,48202
11/19/16,59768
11/20/16,55985
11/21/16,42862
11/22/16,45709
11/23/16,49270
11/24/16,52903
11/25/16,56740
11/26/16,60972
11/27/16,59981
11/28/16,42298
11/29/16,40745
11/30/16,42010
12/1/16,41166
12/2/16,45931
12/3/16,56876
12/4/16,50197
12/5/16,37165
12/6/16,38188
12/7/16,39088
12/8/16,48467
12/9/16,58491
12/10/16,67502
12/11/16,63923
12/12/16,45321
12/13/16,42958
12/14/16,44824
12/15/16,46668
12/16/16,54488
12/17/16,63559
12/18/16,60055
12/19/16,51122
12/20/16,50936
12/21/16,53724
12/22/16,62813
12/23/16,71787
12/24/16,71563
12/25/16,79706
12/26/16,70893
12/27/16,65780
12/28/16,63424
12/29/16,65465
12/30/16,61617
12/31/16,70889
1/1/17,68399
1/2/17,63882
1/3/17,57993
1/4/17,56475
1/5/17,57065
1/6/17,61949
1/7/17,61163
1/8/17,54909
1/9/17,47440
1/10/17,46717
1/11/17,50747
1/12/17,49677
1/13/17,70247
1/14/17,65687
1/15/17,60967
1/16/17,48210
1/17/17,42189
1/18/17,44997
1/19/17,43791
1/20/17,49640
1/21/17,58429
1/22/17,52796
1/23/17,42510
1/24/17,40773
1/25/17,42715
1/26/17,43271
1/27/17,52210
1/28/17,58935
1/29/17,56923
1/30/17,44120
1/31/17,41664
2/1/17,46523
2/2/17,48566
2/3/17,51498
2/4/17,69227
2/5/17,61300
2/6/17,36419
2/7/17,43578
2/8/17,43110
2/9/17,140884
2/10/17,198268
2/11/17,221612
2/12/17,188101
2/13/17,133117
2/14/17,126213
2/15/17,131634
2/16/17,86704
2/17/17,60560
2/18/17,68198
2/19/17,54378
2/20/17,41257
2/21/17,37328
2/22/17,38650
2/23/17,39744
2/24/17,42775
2/25/17,48998
2/26/17,42404
2/27/17,32474
2/28/17,30681
3/1/17,30186
3/2/17,30910
3/3/17,39165
3/4/17,46422
3/5/17,40308
3/6/17,28538
3/7/17,31284
3/8/17,31655
3/9/17,28600
3/10/17,36444
3/11/17,45137
3/12/17,36004
3/13/17,27721
3/14/17,28213
3/15/17,28577
3/16/17,27403
3/17/17,33337
3/18/17,42661
3/19/17,37347
3/20/17,27660
3/21/17,27001
3/22/17,27901
3/23/17,26151
3/24/17,30372
3/25/17,38529
3/26/17,33847
3/27/17,27165
3/28/17,25640
3/29/17,25789
3/30/17,25855
3/31/17,32265
4/1/17,40194
4/2/17,34311
4/3/17,26258
4/4/17,26674
4/5/17,23137
4/6/17,30549
4/7/17,34012
4/8/17,42219
4/9/17,36816
4/10/17,29924
4/11/17,31386
4/12/17,31906
4/13/17,35353
4/14/17,44360
4/15/17,44684
4/16/17,41486
4/17/17,36291
4/18/17,29741
4/19/17,29838
4/20/17,31289
4/21/17,39628
4/22/17,51814
4/23/17,44091
4/24/17,32017
4/25/17,31499
4/26/17,31961
4/27/17,31860
4/28/17,37419
4/29/17,43755
4/30/17,41057
5/1/17,34266
5/2/17,26742
5/3/17,25762
5/4/17,26749
5/5/17,30658
5/6/17,36860
5/7/17,33584
5/8/17,25289
5/9/17,24893
5/10/17,25021
5/11/17,24333
5/12/17,28420
5/13/17,36156
5/14/17,42495
5/15/17,36630
5/16/17,36101
5/17/17,34146
5/18/17,35567
5/19/17,42938
5/20/17,53432
5/21/17,46267
5/22/17,33291
5/23/17,31291
5/24/17,31674
5/25/17,30875
5/26/17,31384
5/27/17,36834
5/28/17,33536
5/29/17,36247
5/30/17,34801
5/31/17,35833
